epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2442,1.29955,3.77188,0.00967,0.01073,0.38817,0.06821,0.05211,0.86533,3.91334,0.00812,0.00017148,0.00017148,0.00017148
2,20.0978,1.10957,3.33253,0.00781,0.02291,0.62767,0.16611,0.09733,0.92161,3.52017,0.00889,0.000353713,0.000353713,0.000353713
3,22.7311,1.10124,2.74934,0.00792,0.02362,0.65496,0.2395,0.16467,0.89238,3.26392,0.00837,0.000532268,0.000532268,0.000532268
4,25.3886,1.1305,2.12741,0.00791,0.7114,0.22955,0.34864,0.24007,1.04278,2.64701,0.01001,0.000707145,0.000707145,0.000707145
5,28.0105,1.16542,1.88004,0.00833,0.81769,0.22184,0.41604,0.28928,1.08842,2.42912,0.01052,0.000878343,0.000878343,0.000878343
6,30.7185,1.16665,1.73846,0.00835,0.83174,0.36629,0.66676,0.43848,1.11735,2.26269,0.01085,0.00104586,0.00104586,0.00104586
7,33.3346,1.20195,1.61278,0.00854,0.78173,0.48109,0.67376,0.44035,1.14274,2.12741,0.01104,0.00120971,0.00120971,0.00120971
8,35.9164,1.16703,1.54487,0.00839,0.67408,0.64368,0.70493,0.46956,1.1006,1.75297,0.01055,0.00132997,0.00132997,0.00132997
9,38.537,1.19308,1.47442,0.00826,0.61207,0.72457,0.72835,0.48644,1.10111,1.62707,0.01054,0.00131582,0.00131582,0.00131582
10,41.1672,1.16277,1.41768,0.00819,0.67323,0.74406,0.74579,0.49974,1.07332,1.54573,0.01032,0.00130168,0.00130168,0.00130168
11,43.7414,1.14123,1.40468,0.00817,0.65257,0.72641,0.75335,0.51156,1.05888,1.47999,0.01007,0.00128753,0.00128753,0.00128753
12,46.3417,1.16418,1.34522,0.00803,0.67356,0.73481,0.76768,0.51354,1.19456,1.43557,0.0116,0.00127338,0.00127338,0.00127338
13,48.9366,1.14284,1.29046,0.00776,0.66815,0.75577,0.77643,0.51952,1.07005,1.4063,0.01026,0.00125923,0.00125923,0.00125923
14,51.5524,1.1238,1.27892,0.00794,0.70488,0.7771,0.76248,0.52142,1.07061,1.3224,0.01035,0.00124509,0.00124509,0.00124509
15,54.1294,1.14451,1.23378,0.00804,0.72001,0.81629,0.79571,0.54834,1.07035,1.21784,0.01016,0.00123094,0.00123094,0.00123094
16,56.7112,1.11112,1.19454,0.0079,0.69512,0.80728,0.79478,0.52676,1.16407,1.22872,0.0112,0.00121679,0.00121679,0.00121679
17,59.2073,1.09812,1.16522,0.00766,0.7476,0.7876,0.80529,0.5616,1.05953,1.14971,0.00997,0.00120265,0.00120265,0.00120265
18,61.766,1.10175,1.16236,0.00783,0.74499,0.74784,0.82827,0.56072,1.14067,1.19688,0.01117,0.0011885,0.0011885,0.0011885
19,64.2886,1.12553,1.13181,0.0081,0.75455,0.78324,0.83236,0.58211,1.0924,1.08818,0.01036,0.00117435,0.00117435,0.00117435
20,66.81,1.09673,1.09099,0.00786,0.7572,0.83743,0.85196,0.57853,1.09533,1.04847,0.01054,0.00116021,0.00116021,0.00116021
21,69.3718,1.12836,1.07116,0.00772,0.7477,0.82154,0.85383,0.571,1.0659,1.03982,0.01021,0.00114606,0.00114606,0.00114606
22,71.8995,1.13035,1.04846,0.00775,0.78365,0.77214,0.84652,0.59026,1.07841,1.00698,0.01017,0.00113191,0.00113191,0.00113191
23,74.5323,1.1263,1.02892,0.00776,0.79266,0.79726,0.85902,0.59048,1.06266,0.98891,0.0101,0.00111776,0.00111776,0.00111776
24,77.0834,1.1407,1.02533,0.00788,0.74185,0.84426,0.86039,0.59363,1.06108,0.96085,0.01006,0.00110362,0.00110362,0.00110362
25,79.5943,1.10793,1.01139,0.00797,0.78253,0.83591,0.86947,0.60651,1.07353,0.94074,0.01019,0.00108947,0.00108947,0.00108947
26,82.1113,1.07595,0.97507,0.00765,0.79328,0.82997,0.87209,0.59752,1.08123,0.92819,0.01021,0.00107532,0.00107532,0.00107532
27,84.7396,1.06782,0.93271,0.00718,0.7944,0.82174,0.85596,0.58673,1.08135,0.92639,0.01034,0.00106118,0.00106118,0.00106118
28,87.2892,1.09652,0.94417,0.00772,0.74356,0.83925,0.85313,0.58495,1.09776,0.89148,0.0106,0.00104703,0.00104703,0.00104703
29,89.8004,1.0941,0.97247,0.00761,0.84131,0.81147,0.87458,0.59893,1.07196,0.89522,0.01013,0.00103288,0.00103288,0.00103288
30,92.2949,1.08053,0.91347,0.00777,0.74987,0.88122,0.87296,0.5911,1.15393,0.94258,0.01114,0.00101873,0.00101873,0.00101873
31,94.9082,1.07781,0.88739,0.00762,0.80537,0.84019,0.86848,0.58416,1.082,0.86511,0.01023,0.00100459,0.00100459,0.00100459
32,97.5,1.07768,0.8659,0.0073,0.78533,0.8569,0.87008,0.59129,1.12314,0.96282,0.01082,0.00099044,0.00099044,0.00099044
33,100.021,1.08239,0.8993,0.00772,0.77705,0.85825,0.85752,0.57041,1.10878,0.89095,0.01058,0.000976293,0.000976293,0.000976293
34,102.577,1.10685,0.85864,0.00762,0.75776,0.83328,0.85697,0.57104,1.13985,0.89021,0.01088,0.000962146,0.000962146,0.000962146
35,105.182,1.09588,0.85869,0.0075,0.83062,0.81354,0.87271,0.59219,1.09027,0.84243,0.01051,0.000947999,0.000947999,0.000947999
36,107.713,1.07572,0.8449,0.00781,0.83806,0.80463,0.87641,0.60538,1.06884,0.8396,0.01017,0.000933851,0.000933851,0.000933851
37,110.238,1.04773,0.8016,0.00705,0.81998,0.83186,0.87371,0.58397,1.1487,0.82477,0.01131,0.000919704,0.000919704,0.000919704
38,112.764,1.026,0.80137,0.00728,0.83264,0.81519,0.87226,0.59259,1.08737,0.82082,0.01049,0.000905557,0.000905557,0.000905557
39,115.348,1.03555,0.78197,0.00718,0.81829,0.80857,0.88013,0.60099,1.06278,0.86465,0.01017,0.00089141,0.00089141,0.00089141
40,117.851,1.03204,0.78432,0.00729,0.828,0.8357,0.88303,0.60873,1.05812,0.79149,0.01003,0.000877263,0.000877263,0.000877263
41,120.389,1.03311,0.76547,0.00697,0.81291,0.82373,0.87104,0.60237,1.05559,0.801,0.00999,0.000863116,0.000863116,0.000863116
42,122.903,1.03573,0.7945,0.00746,0.79202,0.8593,0.86771,0.58722,1.1047,0.80384,0.01063,0.000848969,0.000848969,0.000848969
43,125.466,1.05828,0.7853,0.00745,0.76827,0.86099,0.88055,0.59296,1.10208,0.78225,0.01052,0.000834822,0.000834822,0.000834822
44,127.993,1.04446,0.77941,0.00739,0.83915,0.79651,0.87373,0.59758,1.07915,0.8081,0.0102,0.000820675,0.000820675,0.000820675
45,130.514,1.06077,0.75649,0.0075,0.77955,0.84397,0.87248,0.58682,1.12787,0.79401,0.01079,0.000806528,0.000806528,0.000806528
46,133.003,1.06462,0.7473,0.00757,0.75677,0.86114,0.86546,0.58591,1.10178,0.79243,0.01053,0.00079238,0.00079238,0.00079238
47,135.534,1.07606,0.74126,0.00753,0.76822,0.85871,0.86473,0.58089,1.08481,0.78443,0.01019,0.000778233,0.000778233,0.000778233
48,138.16,1.02745,0.73198,0.00685,0.78629,0.84047,0.8616,0.59068,1.05433,0.81364,0.00996,0.000764086,0.000764086,0.000764086
49,140.68,1.02315,0.70281,0.00714,0.78648,0.89207,0.86637,0.60142,1.06343,0.75644,0.01012,0.000749939,0.000749939,0.000749939
50,143.177,1.02844,0.71847,0.0074,0.82927,0.86465,0.874,0.59256,1.06558,0.76002,0.0101,0.000735792,0.000735792,0.000735792
51,145.721,1.01103,0.68157,0.00697,0.77168,0.87037,0.87087,0.59167,1.07957,0.77086,0.01033,0.000721645,0.000721645,0.000721645
52,148.227,0.99609,0.69782,0.00695,0.8123,0.8525,0.88055,0.60581,1.06506,0.80793,0.01013,0.000707498,0.000707498,0.000707498
53,150.768,1.01233,0.69755,0.00706,0.80715,0.85255,0.88181,0.59977,1.0761,0.77817,0.01019,0.000693351,0.000693351,0.000693351
54,153.281,1.00496,0.68961,0.00697,0.86271,0.81486,0.88234,0.59999,1.1153,0.81878,0.01076,0.000679204,0.000679204,0.000679204
55,155.856,0.99539,0.67862,0.00698,0.84642,0.79823,0.88353,0.60374,1.09351,0.81238,0.01037,0.000665057,0.000665057,0.000665057
56,158.398,0.99305,0.66234,0.00699,0.85084,0.82061,0.89261,0.61355,1.06369,0.7508,0.0101,0.000650909,0.000650909,0.000650909
57,160.948,0.98333,0.64776,0.00648,0.80174,0.85144,0.88314,0.60037,1.08866,0.77037,0.01028,0.000636762,0.000636762,0.000636762
